FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
南江路666号（凤溪大道与南熏大道交汇处）,和信孔雀天成,http://cd.fang.lianjia.com/loupan/p_kqcaabrf/, 7000
上沙河铺街66号（地铁2号线塔子山公园站旁）,COSMO天廊,http://cd.fang.lianjia.com/loupan/p_ctlaawvf/, 23000
光华大道江浦路77号,棕榈长滩,http://cd.fang.lianjia.com/loupan/p_zlctaasvj/, 13000
驿镇驿都西路3666号,炜岸城一期,http://cd.fang.lianjia.com/loupan/p_wacaaarw/, 8600
西河镇成洛大道（华新职业学院旁）,昊园江南壹品,http://cd.fang.lianjia.com/loupan/p_hyjnypaabst/, 5800
红光镇幸福路北一段（思源学校对面）,公园1号,http://cd.fang.lianjia.com/loupan/p_gyaaljs/, 7100
龙桥渭水社区老成彭路,蓉垚北尚城,http://cd.fang.lianjia.com/loupan/p_rybscaakuj/, 5000
协和街道剑南大道2266号（南湖公园旁）,中铁骑士府邸,http://cd.fang.lianjia.com/loupan/p_ztqsfdaakwv/, 12000
物流大道672号,传化国际新城,http://cd.fang.lianjia.com/loupan/p_chgjxcaafwo/, 12000
北新大道东（大天路旁）,保利城四期中央郡,http://cd.fang.lianjia.com/loupan/p_blcsqzyjaaxal/, 9800
新都大道（成都医学院旁）,和信香榭澜郡,http://cd.fang.lianjia.com/loupan/p_hxxxljaawwb/, 6800
红牌楼北街东侧与二环路交汇处（近丽都花园）,营盛大厦,http://cd.fang.lianjia.com/loupan/p_ysszzaarxj/, 12300
马超东路555号,东骏湖景湾六期,http://cd.fang.lianjia.com/loupan/p_djhjwaabog/, 12000
鹃兴路729号,中航城,http://cd.fang.lianjia.com/loupan/p_zhcaaqvy/, 8000
益州大道和天府五街交汇处,融创NANO公馆,http://cd.fang.lianjia.com/loupan/p_rcnggaavkk/, 17000
成双大道福锦路二段（簇桥工商所旁）,蓝光金悦城,http://cd.fang.lianjia.com/loupan/p_lgjyckaaetr/, 13500
天府大道中段199号,棕榈泉费尔蒙公寓,http://cd.fang.lianjia.com/loupan/p_zlqfemgyaatit/, 33000
东二环建设路（沙河公园内大蓉和旁）,保利康桥,http://cd.fang.lianjia.com/loupan/p_blkqaacxk/, 16000
二环路东四段通盈街88号,绿地锦天府,http://cd.fang.lianjia.com/loupan/p_ldjtfaabyo/, 23000
北大资源颐和雅郡,北大资源颐和雅郡一期,http://cd.fang.lianjia.com/loupan/p_bdzyyhyjaaypq/, 5300
兴城大道777号,富力桃园C区,http://cd.fang.lianjia.com/loupan/p_fltyaaeit/, 8500
成龙大道川师成龙校区旁,龙湖三千庭,http://cd.fang.lianjia.com/loupan/p_lhsqtaaqud/, 14000
麓山大道二段,麓岭汇,http://cd.fang.lianjia.com/loupan/p_llhaakss/, 17000
牧华路三段1789号,海伦春天,http://cd.fang.lianjia.com/loupan/p_hlctaapyl/, 17000
新都蜀龙大道三河场段（保利公园198旁）,莱茵北郡三期,http://cd.fang.lianjia.com/loupan/p_lybjaaarx/, 6100
高新西区合作路89号,龙湖时代天街,http://cd.fang.lianjia.com/loupan/p_lhsdtjaabng/, 8000
郫筒镇中信大道四段968号,中冶田园世界,http://cd.fang.lianjia.com/loupan/p_zytysjaazdb/, 5100
南麓山大道一段289号（南延线麓山大道交汇路口）,香山半岛,http://cd.fang.lianjia.com/loupan/p_xsbdaaead/, 13000
新泰东路144号（石油大学大转盘旁）,汇景新城,http://cd.fang.lianjia.com/loupan/p_hjxcaalju/, 5600
北3.5环北新大道与天丰路交汇处,绿地城,http://cd.fang.lianjia.com/loupan/p_ldcaabrh/, 8500
蜀都新城中信大道顺河路口（中信未来城南侧）,龙光君悦华庭,http://cd.fang.lianjia.com/loupan/p_aajhe/, 6100
三环成金青大道狮子湖生态区入口,缤纷翡翠湾,http://cd.fang.lianjia.com/loupan/p_bffcwaaeho/, 5000
新华大道二段（金马国际体育城旁）,金穗苑,http://cd.fang.lianjia.com/loupan/p_jsyaaunc/, 6000
天府大道南段海昌北路109号（极地海洋世界北侧）,金地天府城,http://cd.fang.lianjia.com/loupan/p_jdtfcaaasn/, 14000
